item_id	item_name	categories	address	city	state
1	Joe's Steaks + Soda Shop	Sandwiches, Restaurants, Cheesesteaks	6030 Torresdale Ave	Philadelphia	PA
2	Dave & Buster's	Adult Entertainment, Sports Bars, Restaurants, Eatertainment, Pool Halls, Bars, Active Life, Arts & Entertainment, American (Traditional), Bowling, Arcades, Nightlife	1200 Poydras St, Unit 601	New Orleans	LA
3	Herbie's Restaurant	Diners, Nightlife, French, Restaurants, Cocktail Bars, Bars, American (New), Event Planning & Services, Caterers	8100 Maryland Ave	Clayton	MO
4	Surrey's Café & Juice Bar	Vegetarian, Restaurants, Breakfast & Brunch, Cafes, Juice Bars & Smoothies, Sandwiches, Food	1418 Magazine St	New Orleans	LA
5	Rockwell Beer Company	Food, Breweries	1320 S Vandeventer Ave	St. Louis	MO
6	Kauboi Izakaya	Sushi Bars, Pubs, Gastropubs, Japanese, Restaurants, Czech, Nightlife, Bars	1286 S Virginia St	Reno	NV
7	The Garden Brunch Cafe	Cafes, Restaurants, American (Traditional), Breakfast & Brunch	924 Jefferson St	Nashville	TN
8	Inchin's Bamboo Garden	Chinese, Indian, Restaurants, Asian Fusion, Cocktail Bars, Nightlife, Bars	1800 West End Ave	Nashville	TN
9	Tavern	Cocktail Bars, Nightlife, Gastropubs, Sports Bars, Restaurants, American (New), Lounges, Bars	1904 Broadway	Nashville	TN
10	Mirko Pasta	Cafes, Vegan, Vegetarian, Restaurants, Specialty Food, Food, Pasta Shops, Italian	2264 Lebanon Rd	Nashville	TN
11	Bittersweet Confections	Cupcakes, Caterers, Food, Chocolatiers & Shops, Bakeries, Specialty Food, Breakfast & Brunch, Shopping, Desserts, Restaurants, Event Planning & Services	725 Magazine St	New Orleans	LA
12	Nothing Bundt Cakes	Desserts, Cupcakes, Bakeries, Food	5420 E Broadway Blvd, Ste 254	Tucson	AZ
13	Chipotle Mexican Grill	Restaurants, Mexican, Fast Food	6395 S Mccarran Blvd, Unit A	Reno	NV
